 吖 A1000000605416 06A10000005416
 阿 A100000080963f 08A1000000963f
 𥥩 A1000001125969 11A10000025969
 锕 A1000001209515 12A10000009515
 𠼞 A1000001420f1e 14A10000020f1e
 𨉚 A100000152825a 15A1000002825a
 錒 A1000001609312 16A10000009312
 嗄 A20000013055c4 13A200000055c4
 啊 A500000110554a 11A5000000554a
 𡉓 AI100000621253 06AI1000021253
 哀 AI1000009054c0 09AI10000054c0
 诶 AI100000908bf6 09AI1000008bf6
 哎 AI1000009054ce 09AI10000054ce
 𠳳 AI100001020cf3 10AI1000020cf3
 挨 AI100001006328 10AI1000006328
 唉 AI100001005509 10AI1000005509
 娭 AI100001005a2d 10AI1000005a2d
 埃 AI1000010057c3 10AI10000057c3
 㶼 AI100001103dbc 11AI1000003dbc
 欸 AI100001106b38 11AI1000006b38
 𢰇 AI100001222c07 12AI1000022c07
 𡟓 AI1000012217d3 12AI10000217d3
 嗳 AI1000013055f3 13AI10000055f3
 锿 AI10000140953f 14AI100000953f
 誒 AI100001408a92 14AI1000008a92
 銰 AI1000014092b0 14AI10000092b0
 𤸖 AI100001424e16 14AI1000024e16
 噯 AI10000160566f 16AI100000566f
 鎄 AI100001709384 17AI1000009384
 𠊎 AI20000102028e 10AI200002028e
 𫘤 AI20000102b624 10AI200002b624
 啀 AI200001105540 11AI2000005540
 硙 AI200001107859 11AI2000007859
 捱 AI200001106371 11AI2000006371
 皑 AI200001107691 11AI2000007691
 獃 AI200001307343 13AI2000007343
 嵦 AI200001305d66 13AI2000005d66
 䠹 AI200001304839 13AI2000004839
 㱯 AI200001403c6f 14AI2000003c6f
 敳 AI200001406573 14AI2000006573
 嘊 AI20000140560a 14AI200000560a
 敱 AI200001406571 14AI2000006571
 磑 AI2000015078d1 15AI20000078d1
 𤸳 AI200001524e33 15AI2000024e33
 皚 AI20000150769a 15AI200000769a
 𦩴 AI200001626a74 16AI2000026a74
 癌 AI20000170764c 17AI200000764c
 𧪚 AI200001727a9a 17AI2000027a9a
 騃 AI200001709a03 17AI2000009a03
 𩪂 AI200001929a82 19AI2000029a82
 𩮖 AI200002029b96 20AI2000029b96
 䶣 AI200002504da3 25AI2000004da3
 毐 AI300000706bd0 07AI3000006bd0
 昹 AI300000906639 09AI3000006639
 㢊 AI30000110388a 11AI300000388a
 娾 AI300001105a3e 11AI3000005a3e
 㑸 AI300001203478 12AI3000003478
 矮 AI3000013077ee 13AI30000077ee
 㗨 AI3000014035e8 14AI30000035e8
 𣤃 AI300001423903 14AI3000023903
 𩫇 AI300001429ac7 14AI3000029ac7
 𦥈 AI300001426948 14AI3000026948
 𦥂 AI300001426942 14AI3000026942
 𧡋 AI30000152784b 15AI300002784b
 躷 AI300001508eb7 15AI3000008eb7
 蔼 AI30000170853c 17AI300000853c
 䨠 AI300001704a20 17AI3000004a20
 䑂 AI300001804442 18AI3000004442
 馤 AI3000018099a4 18AI30000099a4
 霭 AI30000190972d 19AI300000972d
 藹 AI3000022085f9 22AI30000085f9
